,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
291,T289,T283,Thomas Pieters,4,57,15.0
292,T293,T287,Cameron Beckman,2,56,56.0
293,T293,T287,Yuki Inamori,2,56,16.0
294,T293,T287,Shaun Norris,2,56,56.0
295,296,290,Oscar Fraustro,1,55,55.0
296,T297,T291,Jon Curran,4,54,8.0
297,T297,T291,Brendon de Jonge,4,54,15.0
298,T299,T295,Gaganjeet Bhullar,2,53,9.0
299,T299,T295,Robert Garrigus,7,53,20.0
300,T299,T295,Yuta Ikeda,2,53,13.0
301,T299,T295,Brett Rumford,1,53,53.0
302,T303,T300,Charlie Beljan,2,52,11.0
303,T303,T300,Wesley Bryan,5,52,6.0
304,T303,T300,Ho Sung Choi,1,52,
305,T303,T300,Ryan Fox,4,52,48.0
306,T303,T300,Kenny Perry,8,52,40.0
307,T308,T305,Fred Couples,3,51,25.0
308,T308,T305,WC Liang,1,51,19.0
309,T308,T305,Michael Lorenzo-Vera,1,51,51.0
310,T308,,Collin Morikawa,1,51,51.0
311,T308,T305,Jason Scrivener,1,51,51.0
312,T308,T305,Justin Suh,2,51,8.0
313,T314,T310,Martin Flores,1,50,50.0
314,T314,T310,Brandon Stone,2,50,19.0
315,T314,T310,Ryan Vermeer,4,50,3.0
316,T317,T313,Jason Gore,4,49,49.0
317,T317,T313,Dicky Pride,2,49,49.0
318,T319,T315,Sangmoon Bae,16,48,31.0
319,T319,T315,Hayden Buckley,1,48,14.0
320,T319,T315,Paul Dunne,1,48,23.0
321,T319,T315,Retief Goosen,3,48,41.0
322,T319,T315,Lee Hodges,1,48,23.0
323,T319,T315,Lee Westwood,3,48,48.0
324,T325,T321,Alexander Björk,3,47,
325,T325,T321,Michael Block,2,47,1.0
326,T325,T354,Will Claxton,2,47,24.0
